ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6340403,HP428413,07/02/2008 04:38:00 AM,012XX N SPRINGFIELD AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,true,false,2535,025,27,23,26,1150154,1908025,2008,02/04/2016 06:33:39 AM,41.903528508,-87.723892874,"(41.903528508, -87.723892874)"
6340405,HP427782,07/01/2008 07:52:58 PM,0000X N LATROBE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1522,015,28,25,18,1141382,1899854,2008,02/04/2016 06:33:39 AM,41.881272789,-87.756316619,"(41.881272789, -87.756316619)"
6340406,HP428072,07/01/2008 09:40:00 PM,071XX S ASHLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,TAVERN/LIQUOR STORE,true,false,0735,007,17,67,14,1166911,1857552,2008,02/04/2016 06:33:39 AM,41.764682386,-87.663785792,"(41.764682386, -87.663785792)"
6340408,HP426620,07/01/2008 12:05:00 AM,063XX N MERRIMAC AVE,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,false,false,1611,016,45,10,07,1133550,1941719,2008,02/04/2016 06:33:39 AM,41.996295918,-87.784090882,"(41.996295918, -87.784090882)"
6340412,HP424659,06/29/2008 05:40:00 PM,003XX E RANDOLPH ST,0880,THEFT,PURSE-SNATCHING,STREET,false,false,0124,001,42,32,06,1178694,1901250,2008,02/04/2016 06:33:39 AM,41.884333364,-87.619266937,"(41.884333364, -87.619266937)"
6340414,HP425795,06/30/2008 07:53:34 PM,049XX W CORTEZ ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1531,015,37,25,19,1143336,1906533,2008,02/04/2016 06:33:39 AM,41.899564478,-87.74897452,"(41.899564478, -87.74897452)"
6340416,HP428777,07/02/2008 10:30:00 AM,016XX N MILWAUKEE AVE,0810,THEFT,OVER $500,STREET,false,false,1434,014,32,24,06,1162509,1910840,2008,02/04/2016 06:33:39 AM,41.911003247,-87.678431186,"(41.911003247, -87.678431186)"
6340417,HP428407,07/02/2008 04:31:00 AM,048XX W WABANSIA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,2533,025,37,25,14,1143620,1910860,2008,02/04/2016 06:33:39 AM,41.911432929,-87.747822895,"(41.911432929, -87.747822895)"
6340424,HP428759,06/30/2008 10:00:00 AM,044XX S KEELER AVE,0810,THEFT,OVER $500,STREET,false,false,0815,008,14,57,06,1149090,1874923,2008,02/04/2016 06:33:39 AM,41.812713224,-87.728657534,"(41.812713224, -87.728657534)"
6340425,HP423079,06/29/2008 12:14:00 PM,100XX W OHARE ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,false,false,1651,016,41,76,26,1100658,1934241,2008,02/04/2016 06:33:39 AM,41.976290414,-87.905227221,"(41.976290414, -87.905227221)"
6340426,HP428339,07/02/2008 02:10:00 AM,042XX W DICKENS AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,true,false,2522,025,30,20,26,1147894,1913619,2008,02/04/2016 06:33:39 AM,41.918922759,-87.732050384,"(41.918922759, -87.732050384)"
6340427,HP422001,06/27/2008 03:30:00 PM,009XX N LAWNDALE AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,true,false,1112,011,27,23,05,1151543,1906086,2008,02/04/2016 06:33:39 AM,41.89818051,-87.718841747,"(41.89818051, -87.718841747)"
6340430,HP428695,07/02/2008 10:00:00 AM,023XX N KEDZIE BLVD,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,true,true,1413,014,26,22,26,1154646,1915470,2008,02/04/2016 06:33:39 AM,41.923869468,-87.707193016,"(41.923869468, -87.707193016)"
6340431,HP413432,06/24/2008 12:55:00 PM,016XX E 67TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0332,003,5,43,08B,1188443,1860888,2008,02/04/2016 06:33:39 AM,41.773349622,-87.584759546,"(41.773349622, -87.584759546)"
